0,1.2661,1.27189,1630669064821,1630669064879,-5,1630669064874,-53
1,1.26611,1.27189,1630669067775,1630669067997,-7,1630669067990,-215
2,1.26611,1.27189,1630669077047,1630669077279,-7,1630669077272,-225
3,1.26611,1.27189,1630669077299,1630669077538,-6,1630669077532,-233
4,1.26611,1.27189,1630669081470,1630669081661,-5,1630669081656,-186
5,1.26611,1.27189,1630669081606,1630669081860,-4,1630669081856,-250
6,1.26611,1.27189,1630669084644,1630669084862,-10,1630669084852,-208
7,1.26611,1.27189,1630669085208,1630669085421,-5,1630669085416,-208
8,1.26611,1.27189,1630669085759,1630669085976,-4,1630669085972,-213
9,1.26611,1.27189,1630669086054,1630669086245,1,1630669086246,-192
10,1.26611,1.27189,1630669087513,1630669087760,-6,1630669087754,-241
11,1.26611,1.27189,1630669087889,1630669088105,-10,1630669088095,-206
12,1.26613,1.27189,1630669089815,1630669090052,-10,1630669090042,-227
13,1.26613,1.27189,1630669094850,1630669094238,-5,1630669094233,617
14,1.26613,1.27189,1630669095017,1630669094428,-4,1630669094424,593
15,1.26613,1.27189,1630669095435,1630669095636,-12,1630669095624,-189
16,1.26613,1.27189,1630669096471,1630669096634,-5,1630669096629,-158
17,1.26613,1.27189,1630669096789,1630669096871,-5,1630669096866,-77
18,1.26613,1.27189,1630669098908,1630669099123,-4,1630669099119,-211
19,1.26613,1.27189,1630669099119,1630669099126,-5,1630669099121,-2
20,1.26613,1.27189,1630669099253,1630669099341,-4,1630669099337,-84
21,1.26613,1.27189,1630669099390,1630669099344,-5,1630669099339,51
22,1.26613,1.27189,1630669100923,1630669101017,-5,1630669101012,-89
23,1.26613,1.27189,1630669101089,1630669101018,-5,1630669101013,76
24,1.26613,1.27189,1630669101193,1630669101291,-7,1630669101284,-91
25,1.26613,1.27189,1630669101302,1630669101296,-8,1630669101288,14
26,1.26613,1.27189,1630669102559,1630669102784,-7,1630669102777,-218
27,1.26613,1.27189,1630669102874,1630669102787,-6,1630669102781,93
28,1.26613,1.27189,1630669103038,1630669103020,-5,1630669103015,23
29,1.26613,1.27189,1630669103176,1630669103022,-6,1630669103016,160
30,1.26614,1.27189,1630669103294,1630669103468,-8,1630669103460,-166
31,1.26614,1.27189,1630669104844,1630669105072,-10,1630669105062,-218
32,1.26614,1.27189,1630669105040,1630669105072,-9,1630669105063,-23
33,1.26614,1.27189,1630669105158,1630669105326,-5,1630669105321,-163
34,1.26614,1.27189,1630669105277,1630669105329,-5,1630669105324,-47
35,1.26614,1.27189,1630669106326,1630669106562,-10,1630669106552,-226
36,1.26614,1.27189,1630669106479,1630669106718,-6,1630669106712,-233
37,1.26614,1.27189,1630669106914,1630669107146,-8,1630669107138,-224
38,1.26614,1.27189,1630669107063,1630669107162,-5,1630669107157,-94
