b,
1,1.2829,1630586470714,1630586469906,21,1630586469927,787
2,1.2829,1630586470871,1630586469914,17,1630586469931,940
3,1.2829,1630586471103,1630586470215,20,1630586470235,868
4,1.2829,1630586472473,1630586471669,20,1630586471689,784
5,1.2829,1630586472728,1630586471920,21,1630586471941,787
6,1.2829,1630586476344,1630586475518,20,1630586475538,806
7,1.2829,1630586476961,1630586476079,71,1630586476150,811
8,1.2829,1630586483012,1630586482149,15,1630586482164,848
9,1.2829,1630586497017,1630586495534,19,1630586495553,1464
10,1.2829,1630586497310,1630586495748,20,1630586495768,1542
s,
2,1.28871,1630586470714,1630586469906,21,1630586469927,787
3,1.28871,1630586470871,1630586469914,17,1630586469931,940
4,1.28871,1630586471103,1630586470215,20,1630586470235,868
5,1.28871,1630586472473,1630586471669,20,1630586471689,784
6,1.28871,1630586472728,1630586471920,21,1630586471941,787
7,1.28871,1630586476344,1630586475518,20,1630586475538,806
8,1.28871,1630586476961,1630586476079,71,1630586476150,811
9,1.28871,1630586483012,1630586482149,15,1630586482164,848
10,1.28871,1630586497017,1630586495534,19,1630586495553,1464
11,1.28871,1630586497310,1630586495748,20,1630586495768,1542
averag diffTimeVer b = 232940924676 
 diffTimeVer s = 232940924676
        averag diffTimeServer b = 232940925281 
 averag diffTimeServer s = 232940925281
