b,
1.12363,1630339860997
1.124,1630339891026
1.12401,1630339891921
1.12363,1630339896132
1.12364,1630339900434
1.125,1630339901008
s,
1.13098,1630339865839
1.13,1630339867206
1.12999,1630339878785
1.1299,1630339903171
1.12999,1630339908153
1.13,1630339908189
1.13099,1630339908206
