b,
1.2582,1630570897553,1630570897664,10,1630570897674,10
1.2582,1630570897672,1630570897668,8,1630570897676,8
1.2582,1630570897774,1630570897850,9,1630570897859,9
1.2582,1630570897936,1630570898040,8,1630570898048,8
1.2582,1630570901627,1630570901695,13,1630570901708,13
1.2582,1630570902008,1630570902074,10,1630570902084,10
1.2582,1630570904098,1630570904165,10,1630570904175,10
1.2582,1630570904345,1630570904402,11,1630570904413,11
1.2582,1630570905813,1630570905875,10,1630570905885,10
1.2582,1630570905960,1630570905886,10,1630570905896,10
1.2582,1630570906113,1630570906112,22,1630570906134,22
1.2582,1630570906261,1630570906120,15,1630570906135,15
1.2582,1630570906431,1630570906348,12,1630570906360,12
1.2582,1630570906617,1630570906430,12,1630570906442,12
1.2582,1630570906845,1630570906569,8,1630570906577,8
1.2582,1630570908064,1630570908001,86,1630570908087,86
1.2582,1630570908266,1630570908244,14,1630570908258,14
1.2582,1630570908483,1630570908292,6,1630570908298,6
1.2582,1630570910485,1630570910472,13,1630570910485,13
1.2582,1630570910667,1630570910654,8,1630570910662,8
1.2582,1630570914201,1630570914203,13,1630570914216,13
1.2582,1630570914451,1630570914391,10,1630570914401,10
1.2582,1630570916895,1630570916833,9,1630570916842,9
1.2582,1630570917131,1630570917073,12,1630570917085,12
1.2582,1630570920928,1630570920858,7,1630570920865,7
1.2582,1630570921176,1630570921062,9,1630570921071,9
1.2582,1630570921778,1630570921673,11,1630570921684,11
1.2582,1630570923580,1630570923480,13,1630570923493,13
1.2582,1630570925431,1630570925332,14,1630570925346,14
1.2582,1630570925764,1630570925588,13,1630570925601,13
1.2582,1630570926916,1630570926811,10,1630570926821,10
1.2582,1630570928620,1630570928506,12,1630570928518,12
1.2582,1630570929818,1630570929732,11,1630570929743,11
1.2582,1630570932304,1630570932193,10,1630570932203,10
1.2582,1630570932608,1630570932196,9,1630570932205,9
1.2582,1630570932973,1630570932377,14,1630570932391,14
1.2582,1630570933321,1630570932533,14,1630570932547,14
1.2582,1630570934141,1630570933919,13,1630570933932,13
1.2582,1630570934505,1630570933923,10,1630570933933,10
1.2582,1630570934918,1630570934116,11,1630570934127,11
1.2582,1630570935240,1630570934301,15,1630570934316,15
1.2582,1630570937897,1630570937728,10,1630570937738,10
1.2582,1630570938246,1630570937923,11,1630570937934,11
1.2582,1630570940512,1630570940282,13,1630570940295,13
1.2582,1630570940918,1630570940444,15,1630570940459,15
1.2582,1630570944585,1630570944362,11,1630570944373,11
1.2582,1630570946861,1630570946128,11,1630570946139,11
1.2582,1630570947219,1630570947027,9,1630570947036,9
1.2582,1630570947637,1630570947209,13,1630570947222,13
1.2582,1630570951629,1630570951390,12,1630570951402,12
1.2582,1630570952192,1630570951949,14,1630570951963,14
1.2582,1630570954148,1630570953885,16,1630570953901,16
1.2582,1630570954710,1630570954161,16,1630570954177,16
1.2582,1630570959666,1630570959362,10,1630570959372,10
1.25815,1630570963156,1630570962810,32,1630570962842,32
1.25815,1630570966778,1630570966401,14,1630570966415,14
1.25815,1630570968442,1630570968185,18,1630570968203,18
1.26026,1630570969387,1630570969038,15,1630570969053,15
1.26027,1630570970262,1630570969904,16,1630570969920,16
1.26027,1630570975099,1630570974109,17,1630570974126,17
1.26027,1630570975616,1630570974671,14,1630570974685,14
1.26027,1630570976636,1630570976280,32,1630570976312,32
1.26027,1630570977183,1630570976446,13,1630570976459,13
1.26027,1630570977699,1630570976660,12,1630570976672,12
1.26027,1630570978188,1630570976970,36,1630570977006,36
1.26027,1630570978719,1630570977142,15,1630570977157,15
1.26027,1630570979638,1630570979348,16,1630570979364,16
1.26027,1630570980315,1630570979561,17,1630570979578,17
1.26027,1630570982006,1630570981616,15,1630570981631,15
1.26026,1630570984139,1630570983765,16,1630570983781,16
1.26026,1630570984720,1630570984105,17,1630570984122,17
1.26026,1630570985677,1630570985266,20,1630570985286,20
1.26026,1630570986294,1630570985520,18,1630570985538,18
1.26026,1630570988431,1630570988040,18,1630570988058,18
1.26026,1630570989044,1630570988268,19,1630570988287,19
1.26026,1630570990308,1630570989660,17,1630570989677,17
1.26026,1630570990850,1630570989940,16,1630570989956,16
