b,
1.11401,1630330922967
1.11412,1630330935432
1.1142,1630330937215
1.1143,1630330945440
1.1144,1630330947303
s,
1.1178,1630330922146
1.1175,1630330959646
1.11749,1630330960180
1.1175,1630330964077
1.1178,1630330970810
