b,
1.11441,1630330999778
1.11449,1630331001093
1.114,1630331013167
1.11403,1630331026273
1.114,1630331037883
1.11404,1630331041016
s,
1.11779,1630331001963
1.1177,1630331010486
1.11769,1630331014058
1.1176,1630331019215
1.11769,1630331025267
