b,
1.124,1630340105303
1.12401,1630340105651
1.125,1630340117255
1.12503,1630340123486
1.12501,1630340130468
1.12361,1630340131390
1.12362,1630340132407
1.126,1630340133448
1.12601,1630340139881
s,
1.13098,1630340096301
1.13099,1630340147162
1.13098,1630340149500
