b,
1.12501,1630339913776
1.12503,1630339916765
1.12507,1630339927851
1.12509,1630339934065
1.1251,1630339938634
1.12511,1630339943752
1.126,1630339945374
1.12603,1630339951416
1.1251,1630339955576
1.12361,1630339956364
1.12362,1630339959068
1.127,1630339960645
s,
1.13098,1630339961946
1.13099,1630339968130
