b,
1.193,1630502681877,1630502663996,1630502664084
1.193,1630502681990,1630502664413,1630502664404
1.193,1630502682077,1630502665630,1630502665619
1.193,1630502682188,1630502665681,1630502665671
1.193,1630502682292,1630502666185,1630502666175
1.193,1630502682692,1630502669000,1630502668992
1.193,1630502682820,1630502669004,1630502668995
1.193,1630502682973,1630502669221,1630502669214
1.193,1630502683292,1630502669223,1630502669216
1.193,1630502683510,1630502671847,1630502671839
1.193,1630502683864,1630502672565,1630502672558
1.19156,1630502684347,1630502672565,1630502672558
1.19155,1630502684576,1630502672565,1630502672559
1.18689,1630502684755,1630502672566,1630502672559
1.18689,1630502684944,1630502672566,1630502672559
1.19201,1630502685103,1630502673660,1630502673654
1.19201,1630502685253,1630502673874,1630502673863
1.19201,1630502685407,1630502674891,1630502674883
1.19201,1630502685569,1630502676837,1630502676826
1.19201,1630502685721,1630502679582,1630502679573
1.19201,1630502685944,1630502682106,1630502682093
1.18689,1630502686172,1630502684415,1630502684406
1.19195,1630502686329,1630502684828,1630502684816
1.19195,1630502686497,1630502684923,1630502684910
1.19195,1630502686709,1630502684925,1630502684911
1.19195,1630502686912,1630502684925,1630502684914
1.19195,1630502687098,1630502684926,1630502684915
1.19195,1630502687280,1630502684926,1630502684915
1.19195,1630502687477,1630502685240,1630502685229
1.19195,1630502687706,1630502686470,1630502686456
1.19196,1630502687914,1630502686476,1630502686460
1.19196,1630502688164,1630502686489,1630502686478
s,
1.1946,1630502681886,1630502663996,1630502664084
1.1946,1630502681991,1630502664413,1630502664404
1.1946,1630502682085,1630502665630,1630502665619
1.1946,1630502682189,1630502665681,1630502665671
1.1946,1630502682293,1630502666185,1630502666175
1.1946,1630502682694,1630502669000,1630502668992
1.1946,1630502682822,1630502669004,1630502668995
1.1946,1630502682974,1630502669221,1630502669214
1.1946,1630502683297,1630502669223,1630502669216
1.1946,1630502683513,1630502671847,1630502671839
1.1946,1630502683870,1630502672565,1630502672558
1.1946,1630502684357,1630502672565,1630502672558
1.1946,1630502684576,1630502672565,1630502672559
1.1946,1630502684757,1630502672566,1630502672559
1.1946,1630502684945,1630502672566,1630502672559
1.1946,1630502685104,1630502673660,1630502673654
1.1946,1630502685254,1630502673874,1630502673863
1.1946,1630502685408,1630502674891,1630502674883
1.1946,1630502685570,1630502676837,1630502676826
1.1946,1630502685722,1630502679582,1630502679573
1.1945,1630502685947,1630502682106,1630502682093
1.1945,1630502686173,1630502684415,1630502684406
1.1945,1630502686331,1630502684828,1630502684816
1.1946,1630502686506,1630502684923,1630502684910
1.20079,1630502686711,1630502684925,1630502684911
1.2008,1630502686913,1630502684925,1630502684914
1.20088,1630502687104,1630502684926,1630502684915
1.20088,1630502687280,1630502684926,1630502684915
1.20089,1630502687478,1630502685240,1630502685229
1.2007,1630502687707,1630502686470,1630502686456
1.2007,1630502687915,1630502686476,1630502686460
1.2007,1630502688165,1630502686489,1630502686478
