b,
1,1.26442,1630576307659,1630576306539,-5,1630576306534,1125
2,1.26442,1630576308274,1630576307142,-6,1630576307136,1138
3,1.26442,1630576308594,1630576307278,-8,1630576307270,1324
4,1.26442,1630576308919,1630576307921,-7,1630576307914,1005
5,1.26442,1630576309160,1630576308100,-7,1630576308093,1067
6,1.26442,1630576309629,1630576308708,-8,1630576308700,929
7,1.26442,1630576309993,1630576308918,-6,1630576308912,1081
8,1.26442,1630576310806,1630576309803,-7,1630576309796,1010
9,1.26442,1630576311176,1630576309981,-6,1630576309975,1201
10,1.26442,1630576311748,1630576310727,-4,1630576310723,1025
11,1.26442,1630576312182,1630576310946,-6,1630576310940,1242
12,1.26442,1630576312925,1630576311825,-6,1630576311819,1106
13,1.26442,1630576313402,1630576311984,75,1630576312059,1343
14,1.26442,1630576313985,1630576312801,-6,1630576312795,1190
15,1.26442,1630576314443,1630576312986,-5,1630576312981,1462
16,1.26442,1630576316539,1630576315505,-7,1630576315498,1041
17,1.26442,1630576317167,1630576316062,-8,1630576316054,1113
18,1.26442,1630576324362,1630576323356,-9,1630576323347,1015
19,1.26442,1630576324812,1630576323549,-6,1630576323543,1269
20,1.26442,1630576325289,1630576324145,-7,1630576324138,1151
21,1.26442,1630576325694,1630576324342,-8,1630576324334,1360
22,1.26442,1630576326178,1630576324924,-12,1630576324912,1266
23,1.26442,1630576326762,1630576325110,-7,1630576325103,1659
24,1.26442,1630576327368,1630576325747,-6,1630576325741,1627
25,1.26442,1630576327914,1630576325950,-11,1630576325939,1975
26,1.26442,1630576328494,1630576326647,-8,1630576326639,1855
27,1.26442,1630576329114,1630576326814,-10,1630576326804,2310
28,1.26442,1630576329760,1630576327579,-7,1630576327572,2188
29,1.26442,1630576330434,1630576327824,-8,1630576327816,2618
30,1.26442,1630576331207,1630576328400,-7,1630576328393,2814
31,1.26442,1630576331885,1630576328611,-9,1630576328602,3283
32,1.26442,1630576332749,1630576329212,-11,1630576329201,3548
33,1.26442,1630576333418,1630576329376,-11,1630576329365,4053
34,1.26442,1630576334178,1630576329912,-8,1630576329904,4274
35,1.26442,1630576335006,1630576330084,-7,1630576330077,4929
s,
2,1.26487,1630576307659,1630576306539,-5,1630576306534,1125
3,1.26487,1630576308274,1630576307142,-6,1630576307136,1138
4,1.26487,1630576308594,1630576307278,-8,1630576307270,1324
5,1.26487,1630576308919,1630576307921,-7,1630576307914,1005
6,1.26487,1630576309160,1630576308100,-7,1630576308093,1067
7,1.26487,1630576309629,1630576308708,-8,1630576308700,929
8,1.26487,1630576309993,1630576308918,-6,1630576308912,1081
9,1.26487,1630576310806,1630576309803,-7,1630576309796,1010
10,1.26487,1630576311176,1630576309981,-6,1630576309975,1201
11,1.26487,1630576311748,1630576310727,-4,1630576310723,1025
12,1.26487,1630576312182,1630576310946,-6,1630576310940,1242
13,1.26487,1630576312925,1630576311825,-6,1630576311819,1106
14,1.26487,1630576313402,1630576311984,75,1630576312059,1343
15,1.26487,1630576313985,1630576312801,-6,1630576312795,1190
16,1.26487,1630576314443,1630576312986,-5,1630576312981,1462
17,1.26487,1630576316539,1630576315505,-7,1630576315498,1041
18,1.26487,1630576317167,1630576316062,-8,1630576316054,1113
19,1.26487,1630576324362,1630576323356,-9,1630576323347,1015
20,1.26487,1630576324812,1630576323549,-6,1630576323543,1269
21,1.26487,1630576325289,1630576324145,-7,1630576324138,1151
22,1.26487,1630576325694,1630576324342,-8,1630576324334,1360
23,1.26487,1630576326178,1630576324924,-12,1630576324912,1266
24,1.26487,1630576326762,1630576325110,-7,1630576325103,1659
25,1.26487,1630576327368,1630576325747,-6,1630576325741,1627
26,1.26487,1630576327914,1630576325950,-11,1630576325939,1975
27,1.26487,1630576328494,1630576326647,-8,1630576326639,1855
28,1.26487,1630576329114,1630576326814,-10,1630576326804,2310
29,1.26487,1630576329760,1630576327579,-7,1630576327572,2188
30,1.26487,1630576330434,1630576327824,-8,1630576327816,2618
31,1.26487,1630576331207,1630576328400,-7,1630576328393,2814
32,1.26487,1630576331885,1630576328611,-9,1630576328602,3283
33,1.26487,1630576332749,1630576329212,-11,1630576329201,3548
34,1.26487,1630576333418,1630576329376,-11,1630576329365,4053
35,1.26487,1630576334178,1630576329912,-8,1630576329904,4274
36,1.26487,1630576335006,1630576330084,-7,1630576330077,4929
