b,
1.12602,1630340168456
1.12603,1630340175504
1.12609,1630340180445
1.1261,1630340182386
1.127,1630340184720
1.12703,1630340188356
1.12603,1630340194614
1.12604,1630340195108
1.128,1630340197363
s,
1.1309,1630340201652
1.13098,1630340206898
