b,1.16159,1629911411516
s,1.1707,1629911411689
b,1.163,1629911427859
b,1.16309,1629911434945
b,1.163,1629911439309
s,1.1706,1629911444537
b,1.1618,1629911445418
b,1.16152,1629911448013
s,1.1707,1629911450096
b,1.16153,1629911467871
b,1.1678,1629911475273
b,1.16153,1629911493626
b,1.16152,1629911495585
s,1.1706,1629911501311
s,1.1707,1629911505433
b,1.162,1629911518508
b,1.16201,1629911529163
b,1.162,1629911554565
s,1.16991,1629911557730
s,1.1699,1629911558057
s,1.16991,1629911564193
s,1.169,1629911566815
s,1.16899,1629911567941
b,1.16201,1629911582458
s,1.16898,1629911585888
b,1.162,1629911610647
s,1.1689,1629911615993
s,1.16899,1629911624100
s,1.1688,1629911624468
b,1.16201,1629911640097
b,1.162,1629911738462
s,1.16878,1629911747555
s,1.1688,1629911753273
s,1.16898,1629911764127
s,1.16521,1629911778484
s,1.1652,1629911778808
s,1.16521,1629911779905
s,1.1652,1629911780070
s,1.165,1629911785578
b,1.1615,1629911787590
s,1.16499,1629911793935
